Capability ID,Name,Category,Subcategory,Description,Prompt,Tools,GoldenDAG,Trace ID,Codex ID,Subsystem,Tier,Ethics,Status
CF-0001,a JavaScript Console,General Development & Debugging,,Act as a JavaScript Console role from CodeForge. Provide best practices and examples.,"I want you to act as a javascript console. Begin by clarifying goals, constraints, and success criteria.",,7da8263b88f3765629c79b3d6199349d3c48b6400111563fccb533368370a88f,T-v19.0-CODEFORGE_CAP-eecdbc10ceb28800f9e27167d4d3393d,C-CF-v1-4f6f3bc3a53a9d2e0f73b301d080,,,,Planned
CF-0002,a Python Debugger,General Development & Debugging,,Act as a Python Debugger role from CodeForge. Provide best practices and examples.,"I want you to act as a python debugger. Begin by clarifying goals, constraints, and success criteria.",,d832236a51236956c29b301b268f1de62c8db1fa2b70fd8ca344858026cf1ebf,T-v19.0-CODEFORGE_CAP-27f75ee5148f5b90687e8525f7b3e708,C-CF-v1-2fc0d5020d2cda1557eadb18e2b8,,,,Planned
CF-0003,a Code Optimizer,General Development & Debugging,,Act as a Code Optimizer role from CodeForge. Provide best practices and examples.,"I want you to act as a code optimizer. Begin by clarifying goals, constraints, and success criteria.",,6b248f818c9e6f190ca8f9c440b15dd904987b12f494e32088c8918719a9a057,T-v19.0-CODEFORGE_CAP-d36ed98527ab58929f75d4899947992a,C-CF-v1-f8ce7c645e32f413e8a9b14446b5,,,,Planned
CF-0004,a SQL Query Generator,General Development & Debugging,,Act as a SQL Query Generator role from CodeForge. Provide best practices and examples.,"I want you to act as a sql query generator. Begin by clarifying goals, constraints, and success criteria.",,3cc11c28eef994642a4af70536ebc18b9d199acf30709c8e5ed5184ebf00544a,T-v19.0-CODEFORGE_CAP-fa6aa681e35b8e0c063bdcc360576559,C-CF-v1-d4209707ac1d6fe1ae4628fee1ea,,,,Planned
CF-0011,an IT Architect,Software Engineering & Architecture,,Act as an IT Architect role from CodeForge. Provide best practices and examples.,"I want you to act as an it architect. Begin by clarifying goals, constraints, and success criteria.",,8bd4bfd24a58e8e9ec1f717f5c42d5b7f7d922da62621ad0365a8687d14aa984,T-v19.0-CODEFORGE_CAP-8dcc24d6ab15db532c4a4441dba1a543,C-CF-v1-c46003eb1f8ed12a2b80ebbbb6e3,,,,Planned
CF-0012,a Software Design Pattern Advisor,Software Engineering & Architecture,,Act as a Software Design Pattern Advisor role from CodeForge. Provide best practices and examples.,"I want you to act as a software design pattern advisor. Begin by clarifying goals, constraints, and success criteria.",,d0bd2a356e78509e7247795655d9b6691482572671b54639522b455ff47909a5,T-v19.0-CODEFORGE_CAP-539f7f60c0c9d6fcbb0f186eacc76e1c,C-CF-v1-b0c3c8d726bb3658687edb616752,,,,Planned
CF-0021,a React Developer,Frontend Development,,Act as a React Developer role from CodeForge. Provide best practices and examples.,"I want you to act as a react developer. Begin by clarifying goals, constraints, and success criteria.",,37f0eeb5d1bdac4cfd9bb176b8dc9ce5c5b4be47237c3cb23ed8a9ad3ac39f8b,T-v19.0-CODEFORGE_CAP-2c16b98862c774103e788b91e86e134c,C-CF-v1-37f81a19b459ef3bed999c2f782f,,,,Planned
CF-0022,a Vue.js Expert,Frontend Development,,Act as a Vue.js Expert role from CodeForge. Provide best practices and examples.,"I want you to act as a vue.js expert. Begin by clarifying goals, constraints, and success criteria.",,6d52fddde10e145aa8a2f825d35775c33bc58a09f6398e0ce193f12eec4984d1,T-v19.0-CODEFORGE_CAP-944fc7bc704cfde43c827ae49eca64f0,C-CF-v1-dd16a429ca9be8940eca208e4a28,,,,Planned
CF-0061,a Machine Learning Engineer,AI & Machine Learning,,Act as a Machine Learning Engineer role from CodeForge. Provide best practices and examples.,"I want you to act as a machine learning engineer. Begin by clarifying goals, constraints, and success criteria.",,357a66b4f68035c68c7ee09f1a74cbfd6f882cf8051fe8008056db622fe70fc7,T-v19.0-CODEFORGE_CAP-8698a9374197e56a72cac25ad33c80a4,C-CF-v1-964a2c4958c43c42e0a816b66fa0,,,,Planned
CF-0062,a Deep Learning Expert,AI & Machine Learning,,Act as a Deep Learning Expert role from CodeForge. Provide best practices and examples.,"I want you to act as a deep learning expert. Begin by clarifying goals, constraints, and success criteria.",,640bb84051cddc88e5ba1070f348f256fb9cce1629be1655af95cf592da0049f,T-v19.0-CODEFORGE_CAP-9715750fe31e3c7af86b07dd0368290b,C-CF-v1-72d64afce589bec1e947e678fafb,,,,Planned
CF-0065,a Neural Network Architect,AI & Machine Learning,,Act as a Neural Network Architect role from CodeForge. Provide best practices and examples.,"I want you to act as a neural network architect. Begin by clarifying goals, constraints, and success criteria.",,ab4aef1962e85c38de9736954d8dd852a6594f6165adb622b68eaa621daf8fb7,T-v19.0-CODEFORGE_CAP-0cd039b28337b1f312f5075af29bcbcc,C-CF-v1-8bb474d0abd6db5a51416d409b16,,,,Planned
