Session_ID,Symbolic_Phase_Drift,Epistemic_Coherence,Reflexive_Alignment,Resonance_Intensity,Ethical_Deviation
1,0.3522209723650984,0.7150685452024668,0.8652272074462544,0.7118728467059969,0.044121514712794734
2,0.5948197655590063,0.6966856215163307,0.9086763033641059,0.7891302777954037,0.04701304797808052
3,0.7603434105040294,0.8219721408442058,0.9109893585958615,0.7680605562622211,0.06472994953665329
4,0.5373157193977055,0.8462203949775423,0.9602710581411509,0.6790930217425692,0.07543442286130651
5,0.7520339182492237,0.8209427506730647,0.9264782872733309,0.6021323516238938,0.06511656678121115
6,0.3559278093065954,0.8482977228429748,0.8732853356867375,0.6661393214189096,0.07254352376813684
7,0.3441866285751926,0.7940920156929919,0.8807908353536629,0.5454543626813227,0.06985286806274685
8,0.5622813869378538,0.8145301949587627,0.9084863154337521,0.7339174096405705,0.04033688093113421
9,0.38056735950582476,0.7656586488661088,0.9436184169771284,0.7580081054698298,0.038019870598773944
10,0.6884394530728026,0.8506029010016772,0.920431486348019,0.785701345625035,0.04826106140351613
11,0.2850947481778537,0.7874793089879454,0.9261766143816699,0.9085269603083594,0.04216917341359331
12,0.48066082839582214,0.78741025826174,0.9013577122460452,0.7147726313494384,0.04253012768945882
13,0.823746401067663,0.8393780500916808,0.9355277211638295,0.7359217371560238,0.032445413302931034
14,0.3670017570380256,0.725547759849337,0.8967464345585868,0.6771680951645023,0.05349743088614874
15,0.539858072079536,0.7523918936327625,0.8972249286133438,0.7622003510378024,0.05104718125986002
16,0.30954202851065216,0.7456181726804911,0.865439263952135,0.8770391246741621,0.017260519639190605
17,0.5228966677876699,0.9033436656022596,0.893658413306588,0.8891229827120565,0.035552973644774145
18,0.3449245847137363,0.7774580172877753,0.8821782566450241,0.7062516639057818,0.08685889859082355
19,0.7267392045734116,0.8757345910423292,0.8668182415170225,0.6488936339105477,0.0684202880849433
20,0.5308025750632294,0.8397876931379029,0.863653923665711,0.642829617937532,0.06306861151637684
